ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,MM,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO
443.35,42.1,408.6,48.8,478.5,38.9,327.7,704.15,1165.65,327.85,1412.5,55.0,386.05,2819.15,343.65,232.1,920.7,869.5,2376.5,160.3,36.75,9945.75,240.95,961.55,316.6,171.15,760.05,616.95,215.65,2651.5,83.0,191.45,154.5,363.3,250.1,55.7,2097.35,169.75,140.2,1076.5,621.3,108.7,265.25,513.2,6076.4
431.75,38.75,421.0,44.9,499.7,37.3,352.05,690.6,1152.45,320.7,1362.15,52.4,368.8,2700.3,359.15,233.45,895.45,861.6,2300.3,171.7,39.45,10741.45,229.0,932.55,327.65,157.5,768.6,653.8,225.0,2640.15,83.25,189.45,157.1,352.1,266.6,51.25,2114.1,157.8,134.65,1080.7,614.05,102.05,269.05,512.3,6562.55
416.65,35.65,435.5,41.35,521.8,36.1,332.9,653.3,1151.8,316.0,1350.85,49.1,355.7,2548.8,332.6,227.6,893.65,838.1,2302.0,164.2,36.95,9961.75,227.25,1006.5,326.95,149.6,798.1,601.5,227.95,2584.9,84.5,177.9,156.0,344.35,253.9,47.45,2031.75,165.8,131.75,1081.6,615.85,102.05,265.25,509.9,7087.55
399.1,38.1,434.5,39.7,510.95,38.6,330.05,674.7,1164.75,313.3,1379.2,45.5,365.5,2464.1,341.6,245.85,891.85,835.2,2311.05,177.05,39.1,10037.85,228.15,997.2,332.45,161.6,810.65,553.4,229.3,2552.2,83.15,186.25,161.65,348.15,250.0,47.0,2050.15,164.85,135.35,1097.1,629.95,104.0,295.0,515.2,7654.55
392.6,38.5,451.75,41.4,518.05,38.2,327.75,677.0,1257.85,314.05,1489.55,46.5,357.4,2317.3,339.2,250.4,893.2,824.6,2327.05,179.75,38.85,10298.3,230.55,1030.1,337.6,174.55,808.2,529.45,221.05,2574.7,83.25,186.65,159.15,354.55,250.0,48.05,2214.2,166.35,135.85,1098.05,629.7,109.95,316.45,497.3,8266.95
402.45,36.6,498.45,40.8,506.8,37.15,301.6,667.05,1201.15,312.95,1608.75,45.9,345.7,2262.75,327.9,242.6,837.85,796.7,2513.0,174.35,37.55,9864.6,219.85,956.8,329.15,174.85,811.0,496.0,232.45,2559.6,83.65,183.25,146.75,349.45,241.1,45.7,2391.35,154.2,133.2,1100.65,681.95,106.75,320.4,498.4,8928.35
402.75,35.4,499.95,40.0,478.95,37.75,293.95,665.7,1166.7,312.15,1573.25,45.8,318.05,2081.75,319.15,236.15,860.45,798.35,2714.05,170.2,36.6,10254.75,213.95,979.9,333.85,171.6,805.6,507.8,234.3,2626.9,85.05,179.3,141.7,345.65,244.2,42.9,2582.7,166.55,133.15,1089.3,710.45,106.45,315.65,481.4,9587.45
400.45,33.75,501.65,38.2,461.9,37.15,270.45,657.45,1126.75,307.3,1473.0,44.65,292.75,2248.3,305.95,217.55,847.8,789.7,2931.2,158.9,34.05,9830.1,206.4,941.3,337.5,163.2,774.35,515.4,228.05,2625.45,86.95,175.3,151.1,334.35,237.1,39.8,2673.8,179.9,131.25,1084.45,704.5,107.25,304.7,477.15,8820.45
406.85,34.55,479.85,40.2,448.5,38.55,264.45,665.65,1143.35,303.75,1590.85,43.1,285.1,2428.2,330.45,219.45,858.85,780.3,2875.9,156.9,35.05,9214.95,213.4,866.05,339.15,160.4,773.15,514.75,235.4,2629.15,87.05,175.0,152.3,329.8,234.05,41.25,2584.8,168.05,128.75,1116.2,684.05,108.5,300.15,481.6,8114.85
400.5,37.35,455.0,42.6,424.95,37.75,270.1,662.1,1149.55,310.25,1568.95,40.75,284.05,2443.6,351.7,227.0,838.6,777.7,3086.75,148.8,34.65,9297.0,212.0,842.7,339.5,153.85,766.35,513.8,235.55,2634.0,85.65,171.8,148.55,336.75,243.35,41.75,2766.7,170.25,128.9,1126.0,772.7,107.05,289.1,484.4,7465.7
392.95,39.45,467.6,40.65,421.75,37.85,270.05,641.85,1134.75,308.05,1555.25,40.75,304.35,2249.75,379.85,227.0,821.75,763.75,3141.25,160.3,33.4,8987.2,208.95,810.15,337.85,143.3,779.7,496.15,226.55,2701.15,87.25,163.35,146.35,328.6,241.0,44.8,2664.05,182.9,128.5,1137.25,863.35,102.6,290.7,461.4,6868.45
400.45,38.85,464.1,40.85,410.7,37.85,291.55,635.85,1195.45,314.75,1669.5,43.6,328.7,2069.8,409.7,227.55,826.65,790.0,3055.55,173.15,34.2,8509.7,220.5,803.5,332.6,144.15,786.55,510.25,222.8,2725.95,88.5,176.45,142.4,333.1,245.45,46.25,2877.0,181.05,130.75,1143.2,956.4,102.95,286.8,444.4,6994.45
376.4,36.25,498.9,38.2,410.7,37.4,274.3,611.5,1149.5,317.3,1550.05,41.1,323.8,1975.4,401.7,216.8,822.45,757.05,2864.2,171.3,32.75,8779.4,221.6,746.85,326.15,140.45,772.45,482.15,221.55,2745.2,88.8,167.25,147.9,310.85,228.75,45.55,2665.15,166.6,120.55,1133.25,898.15,101.1,285.6,432.25,6616.75
399.7,39.15,495.05,39.85,420.0,37.5,275.95,562.6,1057.55,319.2,1527.0,42.45,321.5,1911.55,433.85,234.15,825.8,726.9,2990.7,185.0,35.0,9481.75,221.9,753.75,317.8,151.7,809.4,460.45,229.3,2739.95,84.85,172.5,150.0,316.8,236.2,45.2,2469.15,157.6,115.75,1125.55,918.65,101.65,286.55,436.25,7144.4
390.0,38.2,519.0,38.25,437.85,36.95,257.2,517.6,972.95,309.8,1405.8,41.65,347.25,1798.9,468.6,252.9,797.15,717.75,2817.8,199.8,34.4,10240.3,204.15,724.6,310.05,163.85,797.9,423.7,228.75,2732.75,82.7,160.25,148.05,291.75,226.0,42.5,2501.25,146.8,115.3,1117.35,1000.95,96.2,292.25,455.65,7495.85
404.8,35.55,520.65,37.0,451.4,36.7,249.4,504.6,895.15,309.1,1293.35,41.25,371.2,1655.0,473.05,273.15,797.65,681.1,2593.6,215.8,32.95,11059.55,189.95,675.35,306.15,171.25,801.0,391.35,228.2,2715.45,83.35,155.3,153.95,268.45,208.2,39.2,2301.15,135.1,106.45,1137.2,1006.55,89.4,286.35,451.75,6896.2
398.05,35.2,509.95,34.35,446.25,36.0,229.5,475.3,929.65,309.1,1313.6,37.95,370.45,1667.75,443.5,266.05,822.1,670.7,2473.2,233.1,32.25,11944.35,178.45,729.4,296.65,184.95,825.05,402.45,227.8,2744.8,83.45,157.3,151.1,253.95,212.1,42.3,2117.1,138.75,102.85,1139.9,989.7,87.6,289.5,457.65,6938.8
376.55,32.65,515.55,33.65,436.05,36.75,211.15,469.35,924.7,305.15,1417.05,34.95,341.15,1801.2,412.2,258.2,811.55,617.05,2482.5,238.15,30.75,12899.9,172.85,780.6,307.05,199.75,834.6,370.3,225.65,2672.35,81.8,150.55,150.45,242.3,207.5,38.95,2023.35,132.1,97.15,1165.95,1009.25,85.2,299.15,459.4,6473.15
399.95,30.6,509.4,36.0,429.85,36.3,195.9,489.4,927.4,309.05,1315.0,32.35,364.9,1945.3,416.7,272.05,805.1,601.35,2492.3,219.35,29.55,12315.05,168.3,807.55,311.3,194.8,812.95,350.05,220.35,2678.55,79.05,147.4,150.6,232.95,191.45,38.15,649.8,127.5,91.15,1156.25,1002.5,80.0,306.6,484.25,6761.95
423.5,28.5,519.75,34.0,437.55,35.9,197.9,499.65,901.4,308.5,1209.8,31.15,371.1,2100.95,399.6,269.6,869.55,647.6,2402.1,201.8,29.55,11858.55,173.9,828.7,314.75,179.25,817.15,322.05,208.35,2668.05,81.8,154.0,149.9,231.3,178.9,36.85,653.3,137.7,96.05,1170.65,992.0,74.05,303.25,480.65,6433.85
402.2,28.05,533.7,35.85,442.65,35.7,198.65,486.15,973.55,310.45,1306.4,31.15,351.4,2269.05,397.55,254.15,935.9,642.6,2362.7,211.65,31.95,11664.8,171.65,837.4,309.7,164.95,820.55,347.85,208.5,2646.35,81.15,144.7,149.8,216.85,170.4,35.05,645.7,129.4,91.9,1159.7,998.3,72.45,301.3,486.75,6342.25
399.95,28.35,517.65,35.45,443.0,35.0,198.85,512.0,1051.45,310.5,1410.95,30.6,331.8,2148.35,381.6,269.95,947.55,632.1,2519.2,201.1,34.45,10731.65,166.2,829.05,304.0,151.75,833.15,375.7,216.05,2634.7,81.25,140.5,147.3,203.2,164.35,32.5,667.85,120.35,90.35,1175.2,990.95,74.5,306.9,481.15,5834.9
400.15,27.4,519.0,33.15,452.65,34.85,212.85,519.95,1135.6,313.15,1523.85,29.6,319.2,2123.35,396.65,265.4,902.85,612.6,2668.15,201.2,31.85,9873.15,166.85,859.0,304.05,139.65,874.0,387.4,205.6,2653.85,81.35,144.0,145.85,219.2,177.5,32.8,721.3,130.0,97.6,1170.4,990.7,80.5,305.15,482.05,5368.15
407.45,29.6,526.6,35.8,467.9,34.1,223.6,540.1,1150.4,311.15,1570.35,32.0,324.05,2102.6,400.5,259.85,924.25,658.95,2881.6,210.35,31.55,9966.95,174.95,851.7,302.0,144.3,860.15,356.45,205.75,2648.35,79.8,153.05,137.05,236.75,186.5,35.4,746.1,135.2,105.45,1165.45,987.6,86.95,300.0,481.55,4938.7
410.0,31.9,562.25,38.5,482.2,34.0,222.95,543.65,1063.25,309.4,1445.75,34.6,318.2,2004.5,398.2,256.95,910.7,700.4,2916.25,203.95,29.65,9169.6,169.3,785.65,304.2,134.3,860.6,327.95,210.7,2687.4,78.25,148.65,136.45,234.85,199.7,34.5,761.95,145.4,109.05,1184.15,999.35,91.0,292.35,478.55,4596.2
418.05,30.8,560.05,35.45,515.3,34.05,240.4,544.85,1135.15,315.7,1561.0,37.4,292.9,2023.15,406.35,255.8,901.7,677.3,2828.6,191.75,27.75,9903.2,166.7,725.15,298.2,123.6,855.15,350.45,213.15,2712.9,78.05,138.6,133.95,237.9,212.9,34.8,798.9,149.55,108.5,1188.4,1005.75,90.4,292.5,476.0,4245.0
422.5,32.35,551.9,35.65,517.5,34.25,255.45,573.25,1167.9,314.15,1685.9,40.4,286.85,1865.15,413.25,261.15,973.85,668.1,2714.0,200.35,12.7,10694.3,180.05,740.45,288.7,48.05,856.35,369.2,219.95,2670.65,80.8,143.65,132.6,243.4,212.1,32.95,735.0,146.55,109.55,1194.35,996.15,96.2,295.55,485.5,4584.6
416.15,31.45,569.35,34.55,540.5,35.8,262.15,579.45,1165.15,310.45,1608.15,41.8,277.45,1722.05,409.85,280.4,1051.8,693.5,2640.75,216.4,13.1,10264.05,193.7,704.75,291.25,48.0,853.85,339.7,213.7,2670.6,79.9,143.5,136.65,240.95,200.4,30.5,725.2,136.2,104.25,1196.25,1073.6,98.1,292.5,490.0,4951.4
415.35,31.9,553.35,35.0,523.7,36.4,245.2,599.3,1118.15,310.0,1651.55,40.6,270.6,1584.3,416.8,273.4,1087.95,740.8,2613.35,233.75,13.05,10823.45,203.4,721.4,287.2,48.4,848.3,330.25,214.8,2709.5,82.25,145.35,140.8,240.6,197.25,30.9,733.25,135.25,105.85,1196.75,1152.95,94.5,287.95,483.95,5347.55
