Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Expense Ratio","Tracking Error"
Edelweiss Bharat Bond ETF-April 2023 ETF,EBBETF0423,"Debt","7773.15029166","1115.2",,"0.005",
Edelweiss Bharat Bond ETF-April 2025 ETF,EBBETF0425,"Debt","0","1032.48",,,
Edelweiss Bharat Bond ETF-April 2030 ETF,EBBETF0430,"Debt","6100.642396683","1131.73",,"0.005",
Edelweiss Bharat Bond ETF-April 2031 ETF,EBBETF0431,"Debt","0","1015.86",,,
ICICI Prudential Liquid ETF,ICICILIQ,"Debt","86.396236029","1000",,"0.65",
LIC MF G-SEC Long Term ETF,LICNETFGSC,"Debt","91.23399889800001","21.66",,"0.27","2.898685136402366"
Nippon India Liquid Bees ETF,LIQUIDBEES,"Debt","2580.8388","1000",,"0.65","0.015874507866387545"
DSP BlackRock Liquid ETF,LIQUIDETF,"Debt","35.335546641","1000",,"0.6","0.15080782473068166"
Nippon India G-SEC Long Term ETF,NETFLTGILT,"Debt","12.128473882","22.2",,"0.1","2.895510234829088"
SBI 10 year Gilt ETF,SETF10GILT,"Debt","27.720351072","201.5",,"0.14","3.0383808056265758"
Nippon India ETF Nifty CPSE Bd Plus SDL-2024 Mat,NCPSESDL24,"Debt","0","103.05",,"0.15",
Motilal Oswal 5 Year G-Sec ETF,G5,"Debt","0","47.42",,"0.2",
