Motilal Oswal Focused 25 Fund (MOF25) - Direct Plan Dividend Option,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,SBI FOCUSED EQUITY FUND - DIRECT PLAN - DIVIDEND,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,SBI FOCUSED EQUITY FUND - REGULAR  PLAN - DIVIDEND,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,Baroda Banking and Financial Services Fund - Plan A - Dividend,Baroda Banking and Financial Services Fund - Plan A - Growth Option,Sundaram Select Focus - Direct Plan - Dividend Option,Sundaram Select Focus - Direct Plan - Growth Option,Sundaram Select Focus-Dividend,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Dividend,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Dividend,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,HDFC Focused 30 Fund - DIVIDEND,HDFC Focused 30 Fund - GROWTH,HDFC Focused 30 Fund -Direct Plan - Dividend Option,ICICI Prudential Focused Equity Fund - Direct Plan - Dividend,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,ICICI Prudential Focused Equity Fund - Dividend
15.6939,15.2791,16.9371,16.4848,30.9012,95.2692,23.0784,93.7559,16.83,15.66,16.83,14.5424,134.5789,14.3988,14.81,17.49,14.63,17.27,22.392,60.269,22.738,24.54,24.54,20.24
15.6559,15.2415,16.8962,16.4443,30.9436,95.4001,23.1096,93.8828,16.76,15.59,16.76,14.4797,133.9988,14.3365,14.82,17.5,14.64,17.29,20.353,60.165,20.699,24.44,24.44,20.16
15.5172,15.1046,16.7465,16.2966,30.5225,94.102,22.7938,92.6,16.63,15.47,16.63,14.3586,132.878,14.216,14.7,17.35,14.51,17.14,20.125,59.49,20.468,24.36,24.36,20.09
15.5544,15.1401,16.7866,16.335,30.3232,93.4876,22.6445,91.9936,16.61,15.46,16.61,14.3607,132.8977,14.2179,14.65,17.3,14.47,17.09,19.993,59.101,20.334,24.33,24.33,20.06
15.5127,15.099,16.7416,16.2906,30.2532,93.2717,22.5918,91.7793,16.49,15.34,16.49,14.3497,132.7955,14.2067,14.61,17.25,14.43,17.04,19.977,59.053,20.318,24.24,24.23,19.98
15.2978,14.8892,16.5097,16.0643,29.9615,92.3723,22.3735,90.8926,16.31,15.17,16.31,14.1825,131.2478,14.041,14.52,17.14,14.33,16.93,19.73,58.322,20.067,24.03,24.03,19.82
15.5885,15.1716,16.8235,16.3689,30.2557,93.2795,22.5928,91.7834,16.75,15.58,16.75,14.4742,133.9478,14.3296,14.82,17.49,14.63,17.28,20.215,59.756,20.561,24.61,24.61,20.29
15.9754,15.5462,17.2409,16.7731,30.6438,94.4759,22.8812,92.9552,17.53,16.31,17.53,14.7753,136.7338,14.627,15.48,18.28,15.29,18.05,20.624,60.967,20.978,25.19,25.19,20.77
16.0868,15.654,17.3612,16.8894,31.0383,95.6921,23.1754,94.15,17.51,16.29,17.51,14.8311,137.2509,14.6821,15.54,18.34,15.34,18.11,20.793,61.464,21.15,25.18,25.17,20.76
16.044,15.6117,17.315,16.8438,30.9243,95.3407,23.0898,93.8024,17.22,16.02,17.22,14.7066,136.0987,14.5586,15.33,18.1,15.13,17.87,20.548,60.74,20.901,24.89,24.88,20.52
16.1004,15.6539,17.3759,16.9023,31.0371,95.6886,23.1736,94.1429,17.3,16.09,17.3,14.7361,136.3712,14.5876,15.45,18.24,15.25,18.01,20.521,60.661,20.875,24.97,24.96,20.58
15.8382,15.3964,17.0929,16.6244,30.6648,94.5408,22.8938,93.0064,16.83,15.66,16.83,14.3911,133.1788,14.2452,15,17.71,14.81,17.48,20.135,59.521,20.483,24.5,24.49,20.19
15.7709,15.3303,17.0203,16.553,30.4558,93.8965,22.7374,92.3707,16.76,15.59,16.76,14.334,132.65,14.1885,14.88,17.57,14.69,17.35,20.069,59.324,20.416,24.45,24.44,20.15
15.7563,15.3156,17.0046,16.5371,30.5012,94.0363,22.7708,92.5064,16.73,15.56,16.73,14.3053,132.3849,14.1599,14.81,17.48,14.61,17.26,19.958,58.997,20.304,24.52,24.51,20.21
15.8152,15.3721,17.068,16.5982,30.7512,94.8072,22.957,93.2629,16.8,15.63,16.8,14.4299,133.5378,14.283,14.87,17.56,14.68,17.33,20.158,59.587,20.507,24.65,24.64,20.31
15.6104,15.1725,16.8471,16.3826,30.4427,93.8559,22.7262,92.3253,16.51,15.36,16.51,14.1853,131.2745,14.0407,14.6,17.24,14.41,17.02,19.842,58.653,20.187,24.29,24.28,20.02
15.6177,15.1778,16.855,16.3883,30.3895,93.6919,22.6851,92.1586,16.54,15.39,16.54,14.1879,131.2985,14.0427,14.63,17.27,14.44,17.05,19.765,58.427,20.11,24.3,24.29,20.02
15.8068,15.3609,17.059,16.5861,30.4164,93.7748,22.7048,92.2384,16.72,15.56,16.72,14.3584,132.8759,14.2112,14.81,17.48,14.61,17.26,19.973,59.042,20.322,24.56,24.56,20.24
15.8016,15.3552,17.0534,16.5799,30.5415,94.1607,22.7978,92.6162,16.81,15.63,16.81,14.3004,132.339,14.1535,14.85,17.53,14.65,17.3,19.915,58.87,20.263,24.49,24.49,20.18
15.7248,15.28,16.9705,16.4986,30.4608,93.9118,22.7371,92.3695,16.52,15.36,16.52,14.179,131.216,14.0332,14.64,17.29,14.45,17.07,19.72,58.293,20.065,24.24,24.24,19.97
15.5748,15.1336,16.8086,16.3406,30.1671,93.0063,22.5174,91.4771,16.38,15.24,16.38,14.0471,129.9956,13.9025,14.54,17.16,14.35,16.94,19.442,57.471,19.782,24.07,24.06,19.83
15.4344,14.9954,16.6572,16.1914,29.8074,91.8973,22.2476,90.3811,16.25,15.11,16.25,13.966,129.2449,13.8216,14.39,16.99,14.2,16.77,19.28,56.992,19.618,23.95,23.95,19.73
15.4034,14.9647,16.6237,16.1582,29.7352,91.675,22.1933,90.1604,16.14,15.02,16.14,13.9045,128.6755,13.7605,14.34,16.93,14.15,16.71,19.297,57.043,19.636,23.84,23.83,19.64
15.35,14.9122,16.566,16.1015,29.572,91.1721,22.0711,89.664,16.09,14.96,16.09,13.8798,128.4469,13.7358,14.26,16.83,14.07,16.61,19.176,56.685,19.513,23.92,23.91,19.7
15.0996,14.6683,16.2958,15.8382,29.4446,90.7793,21.9756,89.276,15.72,14.62,15.72,13.6098,125.9487,13.4685,14,16.53,13.82,16.32,18.875,55.796,19.207,23.5,23.49,19.35
15.1494,14.7162,16.3496,15.8899,29.4923,90.9262,22.0107,89.4187,15.89,14.78,15.89,13.6781,126.5802,13.5341,14.12,16.67,13.93,16.45,18.939,55.984,19.272,23.51,23.5,19.36
15.3537,14.9128,16.57,16.1022,30.1498,92.9532,22.5001,91.4068,16.14,15.01,16.14,13.9116,128.7415,13.7643,14.41,17.01,14.21,16.79,19.331,57.142,19.672,23.8,23.79,19.6
15.4084,14.9653,16.629,16.1589,30.1242,92.8743,22.4806,91.3274,16.02,14.9,16.02,13.881,128.4579,13.7338,14.33,16.92,14.14,16.7,19.448,57.488,19.791,23.78,23.77,19.58
15.5822,15.1335,16.8166,16.3405,30.4514,93.8831,22.7242,92.3171,16.36,15.22,16.36,14.0641,130.1522,13.9147,14.62,17.26,14.42,17.03,19.737,58.342,20.085,23.95,23.94,19.72
15.7265,15.2706,16.9724,16.4885,30.6971,94.6406,22.9049,93.0512,16.37,15.23,16.37,14.187,131.2901,14.0353,14.66,17.31,14.46,17.08,19.827,58.61,20.179,24,24,19.76
15.7535,15.2962,17.0015,16.5162,30.7882,94.922,22.9724,93.3256,16.27,15.13,16.27,14.1873,131.2922,14.0353,14.66,17.31,14.46,17.08,19.846,58.665,20.198,23.96,23.96,19.73
15.9365,15.4733,17.199,16.7074,31.0892,95.8501,23.1966,94.2363,16.22,15.09,16.22,14.2836,132.1838,14.1305,14.63,17.28,14.43,17.05,20.072,59.333,20.429,24.1,24.1,19.84
16.0178,15.5517,17.2868,16.792,31.1697,96.0984,23.2562,94.4786,16.58,15.42,16.58,14.3747,133.0267,14.2203,14.92,17.61,14.71,17.37,20.229,59.796,20.589,24.31,24.3,20.01
16.0281,15.561,17.2979,16.8021,31.2031,96.2012,23.2806,94.5779,16.53,15.37,16.53,14.3737,133.0175,14.2191,14.9,17.6,14.7,17.36,20.414,60.343,20.777,24.43,24.42,20.11
16.1119,15.6404,17.3882,16.8879,31.2205,96.2551,23.2923,94.6253,16.51,15.35,16.51,14.4469,133.6944,14.2909,14.88,17.57,14.68,17.33,20.549,60.743,20.916,24.49,24.48,20.16
16.0313,15.561,17.3013,16.802,31.0778,95.8151,23.1849,94.1891,16.43,15.28,16.43,14.3224,132.5425,14.1673,14.81,17.49,14.61,17.25,20.41,60.333,20.775,24.23,24.22,19.94
15.969,15.4999,17.234,16.7361,30.9005,95.2444,23.0145,93.4966,16.36,15.22,16.36,14.2449,131.8255,14.0905,14.75,17.42,14.55,17.18,20.4,60.303,20.765,24.08,24.08,19.82
15.654,15.1936,16.8942,16.4053,30.7691,94.8399,22.9162,93.0972,16.07,14.94,16.07,14.0442,129.9678,13.8917,14.45,17.06,14.25,16.83,20.202,59.716,20.564,23.86,23.86,19.64
15.2841,14.8327,16.495,16.0157,30.2268,93.168,22.5108,91.4502,15.83,14.73,15.83,13.8054,127.7583,13.6549,14.26,16.84,14.06,16.61,19.891,58.799,20.249,23.49,23.48,19.33
15.031,14.5864,16.2217,15.7498,30.1524,92.9389,22.4548,91.2228,15.8,14.7,15.8,13.7091,126.8671,13.5595,14.2,16.77,14,16.54,19.787,58.491,20.143,23.36,23.36,19.23
15.0788,14.6322,16.2733,15.7992,30.0884,92.7415,22.4065,91.0266,15.9,14.79,15.9,13.7944,127.6562,13.6436,14.25,16.82,14.05,16.59,19.842,58.653,20.199,23.4,23.39,19.26
15.0584,14.6119,16.2513,15.7772,30.0102,92.5003,22.3476,90.7874,15.94,14.83,15.94,13.7292,127.0526,13.5789,14.32,16.91,14.12,16.67,19.756,58.398,20.112,23.32,23.32,19.19
14.87,14.4284,16.048,15.5792,29.7099,91.5749,22.1234,89.8766,15.72,14.62,15.72,13.569,125.5705,13.4203,14.04,16.57,13.84,16.34,19.39,57.318,19.74,23,23,18.93
14.7171,14.2784,15.883,15.4172,29.1635,89.8907,21.7148,88.2166,15.47,14.39,15.47,13.4111,124.1096,13.2636,13.79,16.28,13.6,16.06,19.016,56.212,19.36,22.81,22.81,18.77
14.9812,14.534,16.168,15.6932,29.4243,90.6944,21.9084,89.0032,15.82,14.72,15.82,13.5702,125.5819,13.4207,14.09,16.64,13.89,16.41,19.347,57.191,19.698,23.14,23.13,19.04
14.9508,14.5039,16.1352,15.6607,29.5728,91.1522,22.0185,89.4503,15.87,14.76,15.87,13.5347,125.2529,13.3854,14.12,16.67,13.92,16.44,19.344,57.182,19.695,23.21,23.2,19.09
14.9048,14.4588,16.0856,15.612,29.5377,91.0441,21.9918,89.3421,15.88,14.78,15.88,13.4706,124.6595,13.3218,14.09,16.64,13.89,16.4,19.469,57.552,19.823,23.1,23.1,19.01
15.1095,14.655,16.3065,15.8238,29.7137,91.5866,22.1207,89.8656,16.02,14.91,16.02,13.6063,125.9153,13.4552,14.27,16.85,14.07,16.61,19.751,58.385,20.111,23.45,23.45,19.29
15.2979,14.8372,16.5099,16.0205,29.8874,92.122,22.2494,90.3886,15.98,14.86,15.98,13.612,125.9682,13.4606,14.3,16.88,14.1,16.65,19.772,58.446,20.132,23.44,23.43,19.28
14.8283,14.381,16.003,15.528,29.2684,90.2142,21.7881,88.5144,15.46,14.38,15.46,13.2777,122.8749,13.1299,13.78,16.27,13.58,16.04,19.153,56.617,19.502,22.79,22.78,18.75
14.5904,14.1498,15.7463,15.2783,28.877,89.0073,21.4962,87.3284,15.12,14.06,15.12,13.1558,121.7472,13.0092,13.44,15.87,13.25,15.65,18.914,55.912,19.26,22.65,22.65,18.63
14.877,14.4272,16.0556,15.5779,28.9342,89.1837,21.5382,87.499,15.49,14.41,15.49,13.3901,123.9152,13.2407,13.77,16.25,13.57,16.02,19.182,56.702,19.532,22.96,22.96,18.89
15.2515,14.7886,16.4597,15.9681,29.203,90.0123,21.7366,88.3051,15.8,14.7,15.8,13.5854,125.7228,13.4332,14.06,16.6,13.86,16.37,19.512,57.678,19.869,23.35,23.34,19.2
15.0807,14.6223,16.2754,15.7885,28.8637,88.9664,21.4835,87.2768,15.36,14.29,15.36,13.3173,123.2412,13.1679,13.68,16.15,13.48,15.92,18.983,56.115,19.331,22.83,22.82,18.77
15.2923,14.827,16.5038,16.0095,29.1324,89.7947,21.683,88.0871,15.73,14.63,15.73,13.496,124.8952,13.3444,13.98,16.5,13.77,16.26,19.254,56.917,19.608,23.2,23.19,19.08
15.3415,14.874,16.5568,16.0603,29.2469,90.1476,21.7677,88.4311,15.73,14.64,15.73,13.5045,124.9734,13.3526,14,16.53,13.8,16.29,19.431,57.438,19.788,23.24,23.24,19.11
15.4121,14.9421,16.6331,16.1338,29.485,90.8816,21.9443,89.1489,15.86,14.75,15.86,13.5709,125.5881,13.4181,14.07,16.61,13.87,16.38,19.502,57.647,19.86,23.29,23.28,19.15
15.5535,15.0776,16.7856,16.2802,29.7095,91.5734,22.1096,89.8204,16.04,14.92,16.04,13.7013,126.7951,13.5464,14.21,16.78,14,16.54,19.76,58.41,20.124,23.42,23.42,19.26
15.5287,15.0531,16.7589,16.2537,29.6067,91.2568,22.0326,89.5074,15.99,14.88,15.99,13.6967,126.7512,13.5415,14.16,16.72,13.96,16.48,19.789,58.497,20.154,23.48,23.47,19.3
15.5739,15.0965,16.8077,16.3005,29.7308,91.6392,22.1243,89.8799,16.13,15,16.13,13.7609,127.3452,13.6048,14.22,16.79,14.01,16.55,19.843,58.656,20.209,23.66,23.65,19.45
15.5484,15.0713,16.7802,16.2733,29.8695,92.0668,22.2269,90.2968,16.1,14.97,16.1,13.7724,127.4518,13.616,14.2,16.77,14,16.53,19.777,58.46,20.142,23.78,23.78,19.55
15.6526,15.1717,16.8926,16.3817,29.936,92.2718,22.2758,90.4953,16.04,14.92,16.04,13.8016,127.7216,13.6446,14.2,16.76,13.99,16.52,19.735,58.336,20.099,23.84,23.83,19.6
15.636,15.1542,16.8747,16.3628,29.8358,91.9631,22.1995,90.1855,15.92,14.81,15.92,13.6944,126.7294,13.538,14.12,16.67,13.91,16.43,19.628,58.021,19.992,23.76,23.75,19.53
15.6217,15.1396,16.8593,16.347,29.6955,91.5305,22.0946,89.7593,15.92,14.81,15.92,13.6548,126.3635,13.4987,14.11,16.66,13.9,16.41,19.622,58.003,19.986,23.67,23.67,19.46
15.4965,15.0175,16.7241,16.2152,29.6817,91.4878,22.0838,89.7154,16.08,14.96,16.08,13.5933,125.7944,13.4377,14.23,16.8,14.01,16.55,19.685,58.189,20.05,23.51,23.51,19.32
15.4006,14.9239,16.6207,16.1141,29.4663,90.824,21.9231,89.0625,16.02,14.9,16.02,13.5725,125.6018,13.4169,14.17,16.73,13.96,16.49,19.7,58.234,20.066,23.53,23.52,19.34
15.6911,15.2047,16.9342,16.4173,29.4416,90.7477,21.9042,88.9857,16.25,15.12,16.25,13.7263,127.0244,13.5687,14.39,16.99,14.18,16.74,19.963,59.01,20.334,23.76,23.75,19.52
15.5993,15.1137,16.8351,16.3191,29.4766,90.8557,21.9287,89.0855,16.2,15.07,16.2,13.7144,126.9149,13.5564,14.42,17.03,14.21,16.78,20.005,59.137,20.378,23.68,23.67,19.46
15.2821,14.8059,16.4927,15.9867,28.966,89.282,21.5484,87.5402,15.65,14.56,15.65,13.475,124.6995,13.3196,13.95,16.47,13.74,16.22,19.567,57.839,19.932,23.22,23.21,19.08
15.1333,14.6613,16.3322,15.8306,28.732,88.5606,21.3738,86.8309,15.44,14.36,15.44,13.3754,123.7772,13.2209,13.81,16.3,13.6,16.06,19.192,56.733,19.551,23.03,23.03,18.93
15.1339,14.6614,16.3329,15.8307,28.724,88.5359,21.3673,86.8045,15.51,14.42,15.51,13.4103,124.1006,13.2552,13.87,16.38,13.66,16.13,19.206,56.773,19.565,23.04,23.03,18.93
